show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genres,description
s1196,Movie,Can't Help Falling in Love,Mae Czarina Cruz,"Kathryn Bernardo, Daniel Padilla, Matteo Guidicelli, Zanjoe Marudo, Cherry Pie Picache, Lotlot De Leon, Dennis Padilla, Lito Pimentel, Joross Gamboa, Janus del Prado",Philippines,27-Feb-19,2017,TV-14,120,"Comedies, Dramas, International Movies","Gab is eager to tie the knot with her handsome boyfriend, but there's a problem, and it's a doozy: She's already married to a total stranger."
s1460,Movie,Colin Quinn: The New York Story,Jerry Seinfeld,Colin Quinn,United States,18-Nov-16,2016,TV-MA,62,Stand-Up Comedy,"The ""SNL"" veteran performs his off-Broadway show about the history of New York and the people who shape its personality. Directed by Jerry Seinfeld."
s6964,TV Show,The Unicorn,,"Walton Goggins, Rob Corddry, Michaela Watkins, Omar Benson Miller, Maya Lynne Robinson, Ruby Jay, Makenzie Moss",United States,1-Oct-20,2019,TV-14,1,"TV Comedies, TV Dramas","A widowed father of two girls navigates the world of dating, surprised to learn that many women consider him a hot commodity."
s2390,Movie,Getaway Plan,Iñaki Dorronsoro,"Alain Hernández, Javier Gutiérrez, Alba Galocha, Itziar Atienza, Luis Tosar, Florin Opritescu, Jaroslaw Bielski, Peter Nikolas",Spain,1-Nov-17,2016,TV-MA,104,"International Movies, Thrillers",Professional burglar and blowtorch expert Víctor is recruited by the Russian mafia to break into a vault as part of an elaborate bank heist.
s7009,Movie,The Witness Who Didn't See Anything,"Muhammad Fadl, Hany Motawie","Adel Imam, Nahed Gabr, Omar El-Hariri, Nazim Sharawy, Badr Nofal, Saeed Tarabeek, Hala Fakher, Samir Waley Eldein, Sami Gawhar, Shawqi Shamekh, Nasr Seif",Egypt,21-May-20,1976,TV-PG,157,"Comedies, International Movies","Pressured by cops into testifying as an eyewitness to a neighbor's murder, a children's TV host takes on a new persona after the trial."
s5897,TV Show,Super Monsters Monster Party,,"Elyse Maloway, Vincent Tong, Erin Matthews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Ian James Corlett, Britt McKillip, Kathleen Barr, Diana Kaarina",,14-Sep-18,2018,TV-Y,1,Kids' TV,"Sing along and move to this groovy collection of music videos featuring monster friends Katya, Lobo, Zoe, Drac, Cleo and Frankie!"
s2558,TV Show,Gurren Lagann,,"Tetsuya Kakihara, Katsuyuki Konishi, Marina Inoue, Masaya Onosaka, Nobuyuki Hiyama, Shizuka Ito, Daiki Nakamura, Kisho Taniyama, Rina Sato, Kana Ueda, Kana Asumi, Mitsuki Saiga, Takako Honda, Yukari Fukui, Kiyoyuki Yanada, Michiko Neya, Akio Suyama, Kiyoshi Kawakubo, Narushi Ikeda, Andrea Kwan, Brett Weaver, Bridget Hoffman, Dave Bridges, David Lee Mckinney, Hynden Walch, Kyle Hebert, Michelle Ruff, Yuri Lowenthal",Japan,1-Sep-17,2007,TV-14,1,"Anime Series, International TV Shows","When a young laborer escapes to the world aboveground, he discovers a violent land in which humans battle robots controlled by a power-hungry noble."
s5534,TV Show,Shadow of Truth,,,Israel,27-Jan-17,2016,TV-MA,1,"Crime TV Shows, Docuseries, International TV Shows",This documentary series explores the explosive 2006 murder case of a 13-year-old Israeli girl and the subsequent conviction of a Ukrainian immigrant.
s639,Movie,Awake,"Aleksandr Chernyaev, Fedor Lyass","Jonathan Rhys Meyers, Francesca Eastwood, Malik Yoba, William Forsythe, James Austin Kerr, Jeremy Parr",United States,24-Nov-19,2019,TV-MA,92,Thrillers,"After an accident leaves him with no recollection of who he is, a man becomes a prime suspect in the search for a serial killer targeting young women."
s6698,Movie,The Naked Gun: From the Files of Police Squad!,David Zucker,"Leslie Nielsen, Priscilla Presley, George Kennedy, Ricardo Montalban, O.J. Simpson, Raye Birk, Susan Beaubian, Nancy Marchand",United States,1-Jan-21,1988,PG-13,85,"Comedies, Cult Movies",Hapless cop Frank Drebin causes more problems than he solves while trying to stop a deadly plot involving Queen Elizabeth II.
s6519,Movie,The Journey Is the Destination,Bronwen Hughes,"Ben Schnetzer, Kelly Macdonald, Sam Hazeldine, Ella Purnell, Maria Bello, Yusra Warsama",United States,7-Nov-17,2016,R,123,Dramas,Spirited 22-year-old activist and photojournalist Dan Eldon rushes to the frontline of a dangerous relief effort for Somalian refugees in this biopic.
s1033,Movie,Bombairiya,Pia Sukanya,"Radhika Apte, Siddhant Kapoor, Akshay Oberoi, Adil Hussain, Amit Sial, Ravi Kishan, Ajinkya Deo, Shilpa Shukla","United Arab Emirates, United Kingdom, India",15-Mar-19,2018,TV-MA,108,"Comedies, Dramas, International Movies","A PR agent trying to find her stolen phone, a politician in trouble, and a fading celebrity find their lives intertwining in unexpected, messy ways."
s2406,Movie,Ghosts of War,Eric Bress,"Brenton Thwaites, Theo Rossi, Skylar Astin, Kyle Gallner, Alan Ritchson, Billy Zane, Shaun Toub",United Kingdom,25-Nov-20,2020,R,95,Horror Movies,"Five, battle-worn Allied soldiers guarding a chateau previously occupied by Nazis start experiencing unexplained and terrifying supernatural horrors."
s4591,TV Show,Oh Yuck,,"Kayne Tremills, Nia Roam, David Collins, Shane Dundas",Canada,1-May-20,2020,TV-G,1,"Kids' TV, TV Comedies","Using a concoction of cartoons, comedy and live action, Dr. Yuck and his eccentric lab mates investigate the science behind the planet's ickiest things."
s3439,TV Show,Kong: King of the Apes,,"Lee Tockar, Sam Vincent, Alessandro Juliani, Tabitha St. Germain, Kathleen Barr, Viv Leacock, Shannon Chan-Kent, Vincent Tong","United States, Japan, Canada",4-May-18,2018,TV-Y7,2,Kids' TV,"In 2050, an evil scientist is about to unleash an army of robotic dinosaurs. Now it's up to Kong and friends to fight back and save the day."
s2273,Movie,Free Rein: The Twelve Neighs of Christmas,Marek Losey,"Jaylen Barron, Billy Angel, Manpreet Bambra, Celine Buckens, Freddy Carter, Bruce Herbelin-Earle, Kerry Ingram, Charlotte Jordan, Geoff McGivern, Martin Bobb-Semple",,7-Dec-18,2018,TV-G,58,"Children & Family Movies, Dramas","As Bright Fields preps for its Mistletoe Ball, a broken ornament leads Zoe to a family secret, while Gaby finds herself at the mercy of new boss Mia."
s7309,TV Show,Ultraviolet,,"Marta Nieradkiewicz, Sebastian Fabijański, Agata Kulesza, Bartłomiej Topa, Magdalena Czerwińska, Michał Żurawski, Marek Kalita, Paulina Chapko, Karolina Chapko, Viet Anh Do",Poland,19-Dec-19,2019,TV-MA,2,"Crime TV Shows, International TV Shows, TV Dramas",An online community of amateur sleuths use technology to solve crimes – and make quirky friends – in their quest for justice.
s360,TV Show,Ajaibnya Cinta,,,,13-Oct-17,2015,TV-PG,1,"International TV Shows, TV Dramas","Upon returning home from his studies abroad, young grad Akif finds himself involved with four women in this continuation of the series ""Spain Uoolss."""
s7531,TV Show,Welcome to the Family,,"Melani Olivares, Ivan Massagué, Yolanda Ramos, Nao Albet, Georgina Amorós, Leïti Sène, Nonna Cardoner",Spain,27-Jul-18,2018,TV-MA,1,"International TV Shows, TV Comedies, TV Dramas","When an evicted single mom's estranged father dies, she and his second wife cover up his death after learning they've been written out of his will."
s2715,TV Show,"Hi Bye, Mama!",,"Kim Tae-hee, Lee Kyoo-hyung, Go Bo-gyeol, Shin Dong-mi, Seo Woo-jin, Lee Si-woo, Oh Eui-sik, Ahn Nae-sang, Kim Mee-kyeong, Park Su-young, Kim Mi-su, Yoon Sa-bong",South Korea,23-Feb-20,2020,TV-14,1,"International TV Shows, Korean TV Shows, Romantic TV Shows","When the ghost of a woman gains a second chance at life for 49 days, she reappears in front of her remarried husband and young daughter."
s4379,TV Show,Myths & Monsters,Daniel Kontur,Nicholas Day,United Kingdom,23-Dec-17,2017,TV-PG,1,"British TV Shows, Docuseries",This documentary series takes us to the mythic landscapes of Europe to explore some of most enduring legends produced by European culture.
s319,Movie,Aerials,S.A. Zaidi,"Saga Alyasery, Ana Druzhynina, Mansour Al Felei, Mohammad Abu Diak, Pascale Matar, Luke Coutts, Abeer Mohammed",United Arab Emirates,7-May-20,2016,TV-14,90,"International Movies, Sci-Fi & Fantasy",Dubai residents struggle to figure out why a fleet of alien spaceships are hovering over their city when all contact with the outside world is cut off.
s6447,Movie,The Heat: A Kitchen (R)evolution,Maya Gallus,,Canada,7-May-19,2018,TV-MA,71,Documentaries,Seven female chefs describe what it’s like breaking into the restaurant industry's notorious boys' club.
s1166,TV Show,Cagaster of an Insect Cage,,"Yoshimasa Hosoya, Kana Hanazawa, Natsuki Hanae, Takahiro Sakurai, Daisuke Namikawa, Toshiyuki Morikawa, Kazuyuki Okitsu, Junichi Suwabe, Tomohiro Shiozaki, Ai Kayano, Tetsu Shiratori, Yasuhiro Mamiya, Daiki Yamashita, Akari Kito, Tomokazu Sugita, Aoi Yuki, Kohsuke Toriumi",Japan,6-Feb-20,2020,TV-MA,1,"Anime Series, International TV Shows","Thirty years after a disease that turns the infected into carnivorous insects emerged, a young exterminator and a teenage girl search for her mother."
s4673,TV Show,Operation Proposal,,"Seung-ho Yoo, Eun-bin Park, Kyung-pyo Go, Ye-won Kim, Hyun Jin Lee, Jin-joo Park",South Korea,1-Jul-16,2012,TV-PG,1,"International TV Shows, Korean TV Shows, Romantic TV Shows","On Yi-seul's wedding day, her friend Baek-ho wishes he could turn back time to tell her he loves her. Soon he gets a chance to change everything."
s2907,Movie,I Am Wrath,Chuck Russell,"John Travolta, Christopher Meloni, Amanda Schull, Sam Trammell, Patrick St. Esprit, Rebecca De Mornay, Asante Jones, Paul Sloan, Luis Da Silva Jr., Jordan Whalen",United States,16-Sep-19,2016,R,91,"Action & Adventure, Dramas","Hell-bent on avenging his wife's murder, Stanley Hill summons an old partner's help in exposing a cover-up by crooked cops and slimy politicians."
s626,Movie,Austin Powers in Goldmember,Jay Roach,"Mike Myers, Beyoncé Knowles-Carter, Seth Green, Michael York, Robert Wagner, Mindy Sterling, Verne Troyer, Michael Caine, Fred Savage",United States,1-Dec-19,2002,PG-13,94,"Action & Adventure, Comedies","The world's most shagadelic spy continues his fight against the diabolical Dr. Evil, who's teamed with a new foe: 1970s villain Goldmember."
